Episode,Length,Reward,IMG,LOG
1219,6,-4,frames/image1219.gif,frames/log1219.csv
1220,6,-4,frames/image1220.gif,frames/log1220.csv
1221,6,-4,frames/image1221.gif,frames/log1221.csv
1222,6,-4,frames/image1222.gif,frames/log1222.csv
1223,6,-4,frames/image1223.gif,frames/log1223.csv
1224,6,-4,frames/image1224.gif,frames/log1224.csv
1225,6,-4,frames/image1225.gif,frames/log1225.csv
1226,7,-5,frames/image1226.gif,frames/log1226.csv
1227,6,-4,frames/image1227.gif,frames/log1227.csv
1228,8,-6,frames/image1228.gif,frames/log1228.csv
1229,6,-4,frames/image1229.gif,frames/log1229.csv
1230,6,-4,frames/image1230.gif,frames/log1230.csv
1231,6,-4,frames/image1231.gif,frames/log1231.csv
1232,8,-6,frames/image1232.gif,frames/log1232.csv
1233,6,-4,frames/image1233.gif,frames/log1233.csv
1234,6,-4,frames/image1234.gif,frames/log1234.csv
1235,8,-6,frames/image1235.gif,frames/log1235.csv
1236,7,-5,frames/image1236.gif,frames/log1236.csv
1237,6,-4,frames/image1237.gif,frames/log1237.csv
1238,7,-5,frames/image1238.gif,frames/log1238.csv
1239,6,-4,frames/image1239.gif,frames/log1239.csv
1240,8,-6,frames/image1240.gif,frames/log1240.csv
1241,6,-4,frames/image1241.gif,frames/log1241.csv
1242,6,-4,frames/image1242.gif,frames/log1242.csv
1243,7,-5,frames/image1243.gif,frames/log1243.csv
1244,6,-4,frames/image1244.gif,frames/log1244.csv
1245,6,-4,frames/image1245.gif,frames/log1245.csv
1246,8,-6,frames/image1246.gif,frames/log1246.csv
1247,8,-6,frames/image1247.gif,frames/log1247.csv
1248,8,-6,frames/image1248.gif,frames/log1248.csv
1249,6,-4,frames/image1249.gif,frames/log1249.csv
1250,6,-4,frames/image1250.gif,frames/log1250.csv
1251,8,-6,frames/image1251.gif,frames/log1251.csv
1252,6,-4,frames/image1252.gif,frames/log1252.csv
1253,6,-4,frames/image1253.gif,frames/log1253.csv
1254,8,-6,frames/image1254.gif,frames/log1254.csv
1255,7,-5,frames/image1255.gif,frames/log1255.csv
1256,8,-6,frames/image1256.gif,frames/log1256.csv
1257,6,-4,frames/image1257.gif,frames/log1257.csv
1258,8,-6,frames/image1258.gif,frames/log1258.csv
1259,6,-4,frames/image1259.gif,frames/log1259.csv
1260,6,-4,frames/image1260.gif,frames/log1260.csv
1261,6,-4,frames/image1261.gif,frames/log1261.csv
1262,8,-6,frames/image1262.gif,frames/log1262.csv
1263,6,-4,frames/image1263.gif,frames/log1263.csv
1264,6,-4,frames/image1264.gif,frames/log1264.csv
1265,6,-4,frames/image1265.gif,frames/log1265.csv
1266,6,-4,frames/image1266.gif,frames/log1266.csv
1267,7,-5,frames/image1267.gif,frames/log1267.csv
1268,6,-4,frames/image1268.gif,frames/log1268.csv
1269,6,-4,frames/image1269.gif,frames/log1269.csv
1270,6,-4,frames/image1270.gif,frames/log1270.csv
1271,6,-4,frames/image1271.gif,frames/log1271.csv
1272,6,-4,frames/image1272.gif,frames/log1272.csv
1273,6,-4,frames/image1273.gif,frames/log1273.csv
1274,6,-4,frames/image1274.gif,frames/log1274.csv
1275,8,-6,frames/image1275.gif,frames/log1275.csv
1276,6,-4,frames/image1276.gif,frames/log1276.csv
1277,6,-4,frames/image1277.gif,frames/log1277.csv
1278,6,-4,frames/image1278.gif,frames/log1278.csv
1279,6,-4,frames/image1279.gif,frames/log1279.csv
1280,8,-6,frames/image1280.gif,frames/log1280.csv
1281,6,-4,frames/image1281.gif,frames/log1281.csv
1282,6,-4,frames/image1282.gif,frames/log1282.csv
1283,6,-4,frames/image1283.gif,frames/log1283.csv
1284,6,-4,frames/image1284.gif,frames/log1284.csv
1285,9,-7,frames/image1285.gif,frames/log1285.csv
1286,6,-4,frames/image1286.gif,frames/log1286.csv
1287,6,-4,frames/image1287.gif,frames/log1287.csv
1288,6,-4,frames/image1288.gif,frames/log1288.csv
1289,8,-6,frames/image1289.gif,frames/log1289.csv
1290,6,-4,frames/image1290.gif,frames/log1290.csv
1291,6,-4,frames/image1291.gif,frames/log1291.csv
1292,7,-5,frames/image1292.gif,frames/log1292.csv
1293,7,-5,frames/image1293.gif,frames/log1293.csv
1294,6,-4,frames/image1294.gif,frames/log1294.csv
1295,6,-4,frames/image1295.gif,frames/log1295.csv
1296,10,-8,frames/image1296.gif,frames/log1296.csv
1297,6,-4,frames/image1297.gif,frames/log1297.csv
1298,8,-6,frames/image1298.gif,frames/log1298.csv
1299,6,-4,frames/image1299.gif,frames/log1299.csv
1300,6,-4,frames/image1300.gif,frames/log1300.csv
1301,6,-4,frames/image1301.gif,frames/log1301.csv
1302,6,-4,frames/image1302.gif,frames/log1302.csv
1303,6,-4,frames/image1303.gif,frames/log1303.csv
1304,6,-4,frames/image1304.gif,frames/log1304.csv
1305,6,-4,frames/image1305.gif,frames/log1305.csv
1306,6,-4,frames/image1306.gif,frames/log1306.csv
1307,6,-4,frames/image1307.gif,frames/log1307.csv
1308,6,-4,frames/image1308.gif,frames/log1308.csv
1309,6,-4,frames/image1309.gif,frames/log1309.csv
1310,6,-4,frames/image1310.gif,frames/log1310.csv
1311,6,-4,frames/image1311.gif,frames/log1311.csv
1312,6,-4,frames/image1312.gif,frames/log1312.csv
1313,6,-4,frames/image1313.gif,frames/log1313.csv
1314,7,-5,frames/image1314.gif,frames/log1314.csv
1315,6,-4,frames/image1315.gif,frames/log1315.csv
1316,7,-5,frames/image1316.gif,frames/log1316.csv
1317,6,-4,frames/image1317.gif,frames/log1317.csv
1318,6,-4,frames/image1318.gif,frames/log1318.csv
1319,6,-4,frames/image1319.gif,frames/log1319.csv
1320,6,-4,frames/image1320.gif,frames/log1320.csv
1321,6,-4,frames/image1321.gif,frames/log1321.csv
1322,6,-4,frames/image1322.gif,frames/log1322.csv
1323,6,-4,frames/image1323.gif,frames/log1323.csv
1324,10,-8,frames/image1324.gif,frames/log1324.csv
1325,6,-4,frames/image1325.gif,frames/log1325.csv
1326,6,-4,frames/image1326.gif,frames/log1326.csv
1327,6,-4,frames/image1327.gif,frames/log1327.csv
1328,6,-4,frames/image1328.gif,frames/log1328.csv
1329,8,-6,frames/image1329.gif,frames/log1329.csv
1330,6,-4,frames/image1330.gif,frames/log1330.csv
1331,6,-4,frames/image1331.gif,frames/log1331.csv
1332,6,-4,frames/image1332.gif,frames/log1332.csv
1333,6,-4,frames/image1333.gif,frames/log1333.csv
1334,6,-4,frames/image1334.gif,frames/log1334.csv
1335,7,-5,frames/image1335.gif,frames/log1335.csv
1336,6,-4,frames/image1336.gif,frames/log1336.csv
1337,6,-4,frames/image1337.gif,frames/log1337.csv
1338,6,-4,frames/image1338.gif,frames/log1338.csv
1339,6,-4,frames/image1339.gif,frames/log1339.csv
1340,6,-4,frames/image1340.gif,frames/log1340.csv
1341,7,-5,frames/image1341.gif,frames/log1341.csv
1342,6,-4,frames/image1342.gif,frames/log1342.csv
1343,7,-5,frames/image1343.gif,frames/log1343.csv
1344,8,-6,frames/image1344.gif,frames/log1344.csv
1345,8,-6,frames/image1345.gif,frames/log1345.csv
1346,9,-7,frames/image1346.gif,frames/log1346.csv
1347,6,-4,frames/image1347.gif,frames/log1347.csv
1348,6,-4,frames/image1348.gif,frames/log1348.csv
1349,8,-6,frames/image1349.gif,frames/log1349.csv
1350,7,-5,frames/image1350.gif,frames/log1350.csv
1351,6,-4,frames/image1351.gif,frames/log1351.csv
1352,6,-4,frames/image1352.gif,frames/log1352.csv
1353,6,-4,frames/image1353.gif,frames/log1353.csv
1354,6,-4,frames/image1354.gif,frames/log1354.csv
1355,6,-4,frames/image1355.gif,frames/log1355.csv
1356,6,-4,frames/image1356.gif,frames/log1356.csv
1357,6,-4,frames/image1357.gif,frames/log1357.csv
1358,7,-5,frames/image1358.gif,frames/log1358.csv
1359,6,-4,frames/image1359.gif,frames/log1359.csv
1360,7,-5,frames/image1360.gif,frames/log1360.csv
1361,6,-4,frames/image1361.gif,frames/log1361.csv
1362,6,-4,frames/image1362.gif,frames/log1362.csv
1363,6,-4,frames/image1363.gif,frames/log1363.csv
1364,6,-4,frames/image1364.gif,frames/log1364.csv
1365,6,-4,frames/image1365.gif,frames/log1365.csv
1366,6,-4,frames/image1366.gif,frames/log1366.csv
1367,8,-6,frames/image1367.gif,frames/log1367.csv
1368,7,-5,frames/image1368.gif,frames/log1368.csv
1369,6,-4,frames/image1369.gif,frames/log1369.csv
1370,6,-4,frames/image1370.gif,frames/log1370.csv
1371,6,-4,frames/image1371.gif,frames/log1371.csv
1372,6,-4,frames/image1372.gif,frames/log1372.csv
1373,11,-9,frames/image1373.gif,frames/log1373.csv
1374,6,-4,frames/image1374.gif,frames/log1374.csv
1375,6,-4,frames/image1375.gif,frames/log1375.csv
1376,10,-8,frames/image1376.gif,frames/log1376.csv
1377,8,-6,frames/image1377.gif,frames/log1377.csv
1378,6,-4,frames/image1378.gif,frames/log1378.csv
1379,6,-4,frames/image1379.gif,frames/log1379.csv
1380,6,-4,frames/image1380.gif,frames/log1380.csv
1381,6,-4,frames/image1381.gif,frames/log1381.csv
1382,6,-4,frames/image1382.gif,frames/log1382.csv
1383,6,-4,frames/image1383.gif,frames/log1383.csv
1384,8,-6,frames/image1384.gif,frames/log1384.csv
1385,8,-6,frames/image1385.gif,frames/log1385.csv
1386,6,-4,frames/image1386.gif,frames/log1386.csv
1387,6,-4,frames/image1387.gif,frames/log1387.csv
1388,7,-5,frames/image1388.gif,frames/log1388.csv
1389,9,-7,frames/image1389.gif,frames/log1389.csv
1390,8,-6,frames/image1390.gif,frames/log1390.csv
1391,8,-6,frames/image1391.gif,frames/log1391.csv
1392,7,-5,frames/image1392.gif,frames/log1392.csv
1393,6,-4,frames/image1393.gif,frames/log1393.csv
